operation_name,request_id,invoked_at_time,serverless_fn_start_time,enqueued_at_time,began_executing_time,finished_executing_time,serverless_fn_end_time,result_received_time,invocation_duration,preprocessing_duration,waiting_in_queue_duration,execution_duration,postprocessing_duration,return_to_client_duration,serverless_fn_duration,deployment_number,name_node_id,request_type,metadata_cache_hits,metadata_cache_misses
getBlockLocations,46d200a8-5cc2-455b-b678-5fd72acc9702  ,1646931815466             ,1646931815466             ,0                         ,1646931815466             ,1646931815467             ,1646931815467             ,1646931815468             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,7990405513128397511   ,TCP   ,1907 ,1807 
getBlockLocations,1743a7f7-5224-4663-b084-31549b5613de  ,1646931811266             ,1646931811266             ,0                         ,1646931811266             ,1646931811302             ,1646931811302             ,1646931811302             ,0       ,0       ,0       ,36      ,0       ,0       ,36      ,2  ,7990405513128397511   ,TCP   ,874  ,774  
getBlockLocations,c13fa454-7948-4bbb-b3d5-e9929e0e78fb  ,1646931815025             ,1646931815025             ,0                         ,1646931815025             ,1646931815027             ,1646931815027             ,1646931815027             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1519 ,1419 
getBlockLocations,2e536ec8-c02c-4d97-a4ab-3f9988c716a2  ,1646931831116             ,1646931831116             ,0                         ,1646931831116             ,1646931831117             ,1646931831117             ,1646931831118             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,2529255366899679288   ,TCP   ,2034 ,1934 
getBlockLocations,52052ca6-ff30-409f-a899-7156bd9342f1  ,1646931814941             ,1646931814941             ,0                         ,1646931814941             ,1646931814942             ,1646931814942             ,1646931814942             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1435 ,1335 
getBlockLocations,3bb8af98-1ac2-44b7-90fd-45a7c43f3308  ,1646931806868             ,1646931806868             ,0                         ,1646931806868             ,1646931806870             ,1646931806870             ,1646931806870             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,986  ,886  
getBlockLocations,b71484d5-9a9b-4385-86c7-6388049f9624  ,1646931815151             ,1646931815151             ,0                         ,1646931815151             ,1646931815152             ,1646931815152             ,1646931815152             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1625 ,1525 
getBlockLocations,46a6cead-2bde-48f7-b40e-46763119023a  ,1646931811792             ,1646931811792             ,0                         ,1646931811792             ,1646931811793             ,1646931811793             ,1646931811794             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,7990405513128397511   ,TCP   ,1256 ,1156 
getBlockLocations,108956b9-953a-4dbb-82e5-f248f09040b0  ,1646931815619             ,1646931815619             ,0                         ,1646931815619             ,1646931815620             ,1646931815620             ,1646931815620             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,2055 ,1955 
getBlockLocations,773a37f2-249f-4ad4-a7b6-92b4ff70975a  ,1646931831036             ,1646931831036             ,0                         ,1646931831036             ,1646931831037             ,1646931831037             ,1646931831037             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2004 ,1904 
getBlockLocations,871bb420-fda0-49bc-aded-fedff45b4590  ,1646931810540             ,1646931810540             ,0                         ,1646931810540             ,1646931810541             ,1646931810541             ,1646931810542             ,0       ,0       ,0       ,1       ,0       ,1       ,1       ,2  ,7990405513128397511   ,TCP   ,480  ,380  
getBlockLocations,b4ffcec9-6406-45f5-8956-804823b25368  ,1646931807041             ,1646931807041             ,0                         ,1646931807041             ,1646931807043             ,1646931807043             ,1646931807043             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1122 ,1022 
getBlockLocations,853082c6-c014-4946-9dda-4d2ce2c0df2c  ,1646931815558             ,1646931815558             ,0                         ,1646931815558             ,1646931815559             ,1646931815559             ,1646931815559             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,7990405513128397511   ,TCP   ,1995 ,1895 
getBlockLocations,ea06502b-0c47-484d-93ee-f3d1b75dc556  ,1646931830815             ,1646931830815             ,0                         ,1646931830815             ,1646931830817             ,1646931830817             ,1646931830817             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1804 ,1704 
getBlockLocations,4c32bba0-a1df-4894-9f11-a2619f52547a  ,1646931807057             ,1646931807057             ,0                         ,1646931807057             ,1646931807058             ,1646931807059             ,1646931807059             ,0       ,0       ,0       ,1       ,1       ,0       ,2       ,2  ,2529255366899679288   ,TCP   ,1136 ,1036 
getBlockLocations,f9363b50-197d-4134-9997-6b884bb5724f  ,1646931831300             ,1646931831300             ,0                         ,1646931831300             ,1646931831301             ,1646931831301             ,1646931831301             ,0       ,0       ,0       ,1       ,0       ,0       ,1       ,2  ,2529255366899679288   ,TCP   ,2220 ,2120 
getBlockLocations,3aa8945e-c52e-4673-8bcc-a228ca023c4d  ,1646931814793             ,1646931814793             ,0                         ,1646931814793             ,1646931814795             ,1646931814795             ,1646931814795             ,0       ,0       ,0       ,2       ,0       ,0       ,2       ,2  ,7990405513128397511   ,TCP   ,1293 ,1193 
